"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"x1",-0.000321393653897398,-0.000337747755755086,3.55523953426718e-05,0.0305957860106449,0.0308293011842067,0.0291573807979628,0.944,0.924,0.932
"x2",-0.00690272595732734,-0.0012635317915438,-0.00129934234404265,0.0409461983370459,0.03973926765744,0.0398302451476024,0.948,0.95,0.948
"x3",0.00671727293280047,0.00206001479102871,0.00295054201840063,0.0613055721760026,0.0587521582110989,0.0588773799648208,0.938,0.938,0.934
"x4",-0.00278228337403904,-0.00235005686373209,-0.00115187898900635,0.0268143905459512,0.0271594089475901,0.0260608018044504,0.938,0.918,0.928
"x5",-0.00197531069212677,-5.35550818167311e-05,0.00155600346239835,0.0354868224462637,0.0350623518041265,0.0350251926854651,0.952,0.944,0.938
"y0",-0.00313448888772006,-0.00567115058699091,-0.0351652831419741,0.0999075859352459,0.114383258304296,0.114694669020766,0.968,0.954,0.948
"y1",0.0019852588624159,-0.0284749594690702,-0.0212901293634248,0.0691230020480392,0.0869156233421079,0.0807835373848824,0.952,0.904,0.942
"y2",-0.00498491593241256,-0.00354137264658129,0.0239426583674461,0.0590510746681371,0.0724155777103157,0.0770369663095931,0.966,0.94,0.912
