"","theta_pop","","","","","","","",""
"x1",0.56255,0.593653576841959,0.5574786,0.0552903330227689,-0.00901502088703217,0.08113694350586,0.0339039700730843,0.806,0.92
"x2",0.413286,0.496979972357936,0.4106512,0.202508607496832,-0.00637524619754841,0.216659391367062,0.0433870130261547,0.25,0.928
"x3",0.260969,0.175052481495807,0.2620174,-0.329221166131582,0.00401733539232631,0.342955735768243,0.0594892956240961,0.09,0.952
"x4",0.643644,0.681809157195537,0.6446504,0.05929544467988,0.00156359726805495,0.0758913552460429,0.0290681483856176,0.734,0.91
"x5",0.481747,0.432003608007429,0.481332,-0.103256256899516,-0.000861448021471849,0.122684175689357,0.0400740806577067,0.664,0.918
"y0",1.02394952860388,0.113753621421216,1.02422362852716,-0.888907003476709,0.000267688900300409,0.910775809412479,0.102185834534773,0.002,0.96
"y1",1.91120425472046,2.059120964612,1.9159803520788,0.0773945063831855,0.00249899891470787,0.14267136028579,0.0701993079644322,0.898,0.946
"y2",-1.40774620154719,-1.84480608319835,-1.41218324170602,-0.310467811009412,-0.00315187507091436,0.327851457693266,0.0585991895674721,0.264,0.976
